    n;             min;             max;             avg;             mea;             bpc;             dev;
  699;     9892004.000;    10106882.000;     9999443.000;     9951124.600;           0.000;           0.714;
  700;     9963180.000;    10458218.000;    10210699.000;    10072895.400;           0.000;           1.224;
  701;     9862896.000;    10425058.000;    10143977.000;    10133996.900;           0.000;           1.172;
  702;    10122394.000;    10483186.000;    10302790.000;    10208685.800;           0.000;           1.092;
  703;     9846778.000;    10288148.000;    10067463.000;    10078745.000;           0.000;           1.716;
  704;    17745576.000;    18220750.000;    17983163.000;    17864408.900;           0.000;           0.726;
  705;    10334448.000;    11666666.000;    11000557.000;    10668739.100;           0.000;           3.743;
  706;    10272136.000;    10439080.000;    10355608.000;    10330867.500;           0.000;           0.482;
  707;     9034374.000;     9574270.000;     9304322.000;     9314880.700;           0.000;           2.000;
  708;    10217992.000;    10719834.000;    10468913.000;    10318018.300;           0.000;           1.251;
  709;    10175428.000;    10456130.000;    10315779.000;    10238915.000;           0.000;           0.765;
  710;    10044836.000;    10429696.000;    10237266.000;    10159135.900;           0.000;           1.085;
  711;     9998466.000;    10268426.000;    10133446.000;    10115045.000;           0.000;           0.741;
  712;    10149168.000;    10394634.000;    10271901.000;    10231162.300;           0.000;           0.634;
  713;    10227676.000;    10437582.000;    10332629.000;    10318857.600;           0.000;           0.607;
  714;    10271280.000;    10702434.000;    10486857.000;    10355520.600;           0.000;           0.892;
  715;    10401818.000;    10975462.000;    10688640.000;    10501074.600;           0.000;           1.301;
  716;    10570610.000;    10953586.000;    10762098.000;    10659728.000;           0.000;           0.987;
  717;    10635264.000;    11122042.000;    10878653.000;    10744547.200;           0.000;           0.996;
  718;    10529184.000;    10828536.000;    10678860.000;    10659135.300;           0.000;           0.845;
  719;    10670222.000;    11233138.000;    10951680.000;    10783074.300;           0.000;           1.160;
  720;    11054260.000;    11304790.000;    11179525.000;    11125346.400;           0.000;           0.608;
  721;    10658740.000;    10914644.000;    10786692.000;    10835869.400;           0.000;           0.596;
  722;    10821582.000;    11889346.000;    11355464.000;    10942529.800;           0.000;           2.135;
  723;    10722208.000;    10891348.000;    10806778.000;    10784490.300;           0.000;           0.471;
  724;    10746502.000;    10994132.000;    10870317.000;    10808642.600;           0.000;           0.565;
  725;    10630806.000;    10907532.000;    10769169.000;    10728561.800;           0.000;           0.760;
  726;    10709166.000;    10917230.000;    10813198.000;    10764832.800;           0.000;           0.590;
  727;    10549596.000;    10828536.000;    10689066.000;    10663673.900;           0.000;           0.620;
  728;    10582762.000;    10828922.000;    10705842.000;    10656819.800;           0.000;           0.567;
  729;    10678128.000;    10883924.000;    10781026.000;    10727445.700;           0.000;           0.470;
  730;    10777222.000;    10912992.000;    10845107.000;    10830021.400;           0.000;           0.382;
  731;    10761622.000;    12119604.000;    11440613.000;    11026820.100;           0.000;           2.431;
  732;    10844050.000;    11177028.000;    11010539.000;    10985851.300;           0.000;           0.956;
  733;    11065652.000;    11445824.000;    11255738.000;    11144861.700;           0.000;           0.794;
  734;    11121570.000;    11347172.000;    11234371.000;    11203296.100;           0.000;           0.600;
  735;    11240554.000;    11513114.000;    11376834.000;    11314683.100;           0.000;           0.609;
  736;    13820978.000;    14355246.000;    14088112.000;    13948223.500;           0.000;           0.993;
  737;    11302574.000;    11494740.000;    11398657.000;    11388181.100;           0.000;           0.466;
  738;    11244972.000;    11443142.000;    11344057.000;    11312326.700;           0.000;           0.467;
  739;    11312924.000;    12435150.000;    11874037.000;    11464613.600;           0.000;           2.074;
  740;    11260314.000;    12752120.000;    12006217.000;    11494466.000;           0.000;           3.200;
  741;    11266560.000;    11641934.000;    11454247.000;    11367935.600;           0.000;           0.846;
  742;    10829700.000;    11416822.000;    11123261.000;    11152814.000;           0.000;           1.322;
  743;    11146148.000;    11743744.000;    11444946.000;    11267041.400;           0.000;           1.226;
  744;    11158358.000;    11403554.000;    11280956.000;    11235224.700;           0.000;           0.549;
  745;    11289700.000;    11510398.000;    11400049.000;    11369951.400;           0.000;           0.488;
  746;    11252070.000;    11723660.000;    11487865.000;    11353874.200;           0.000;           0.863;
  747;    11390690.000;    12403648.000;    11897169.000;    11552965.800;           0.000;           1.872;
  748;    11512546.000;    11684680.000;    11598613.000;    11582718.600;           0.000;           0.482;
  749;    11635392.000;    12160248.000;    11897820.000;    11767290.500;           0.000;           1.114;
  750;    11630768.000;    11996140.000;    11813454.000;    11710865.400;           0.000;           0.713;
  751;    11712656.000;    11943848.000;    11828252.000;    11792660.900;           0.000;           0.523;
  752;    12391686.000;    12603444.000;    12497565.000;    12479459.300;           0.000;           0.541;
  753;    11518758.000;    12166790.000;    11842774.000;    11851006.600;           0.000;           1.388;
  754;    11900668.000;    12182040.000;    12041354.000;    11998387.800;           0.000;           0.616;
  755;    11689606.000;    13586258.000;    12637932.000;    12235129.500;           0.000;           4.051;
  756;    12228170.000;    12437282.000;    12332726.000;    12302961.800;           0.000;           0.505;
  757;    12133928.000;    12509616.000;    12321772.000;    12275609.100;           0.000;           0.846;
  758;    12077994.000;    12412504.000;    12245249.000;    12215373.000;           0.000;           0.632;
  759;    12289774.000;    12504598.000;    12397186.000;    12367739.500;           0.000;           0.419;
  760;    12224696.000;    12417060.000;    12320878.000;    12318843.700;           0.000;           0.443;
  761;    12383800.000;    12598136.000;    12490968.000;    12460408.900;           0.000;           0.491;
  762;    12168866.000;    12604136.000;    12386501.000;    12405391.700;           0.000;           0.779;
  763;    12267674.000;    12731234.000;    12499454.000;    12357713.700;           0.000;           0.795;
  764;    12465162.000;    12806572.000;    12635867.000;    12560441.200;           0.000;           0.757;
  765;    12393476.000;    12641924.000;    12517700.000;    12462281.700;           0.000;           0.527;
  766;    12635902.000;    12809820.000;    12722861.000;    12696387.900;           0.000;           0.417;
  767;    12503606.000;    12722082.000;    12612844.000;    12568565.100;           0.000;           0.435;
  768;    25152128.000;    25689990.000;    25421059.000;    25474044.900;           0.000;           0.482;
  769;    12851256.000;    12978548.000;    12914902.000;    12903942.100;           0.000;           0.320;
  770;    12854270.000;    13064030.000;    12959150.000;    12916356.800;           0.000;           0.383;
  771;    12834570.000;    13064112.000;    12949341.000;    12896887.000;           0.000;           0.501;
  772;    12628664.000;    12801738.000;    12715201.000;    12699363.500;           0.000;           0.440;
  773;    12563284.000;    12907164.000;    12735224.000;    12654362.900;           0.000;           0.751;
  774;    12737916.000;    12957086.000;    12847501.000;    12830401.100;           0.000;           0.552;
  775;    12763260.000;    14045368.000;    13404314.000;    13007704.200;           0.000;           2.578;
  776;    12802766.000;    13219542.000;    13011154.000;    12908559.300;           0.000;           0.897;
  777;    12764552.000;    12911606.000;    12838079.000;    12810567.700;           0.000;           0.365;
  778;    12823958.000;    13075870.000;    12949914.000;    12903791.900;           0.000;           0.584;
  779;    12787692.000;    13485822.000;    13136757.000;    12957012.800;           0.000;           1.238;
  780;    12949828.000;    13131996.000;    13040912.000;    13028796.100;           0.000;           0.368;
  781;    12923110.000;    13058126.000;    12990618.000;    12979447.900;           0.000;           0.345;
  782;    12971636.000;    13290888.000;    13131262.000;    13121706.100;           0.000;           0.597;
  783;    12564210.000;    13048186.000;    12806198.000;    12645069.800;           0.000;           0.855;
  784;    13355886.000;    13715530.000;    13535708.000;    13482783.500;           0.000;           0.759;
  785;    12498246.000;    12953486.000;    12725866.000;    12653443.500;           0.000;           0.947;
  786;    13157108.000;    13312224.000;    13234666.000;    13218402.000;           0.000;           0.394;
  787;    13297318.000;    13518176.000;    13407747.000;    13361489.300;           0.000;           0.449;
  788;    13224430.000;    13596364.000;    13410397.000;    13304258.200;           0.000;           0.646;
  789;    13331410.000;    13992936.000;    13662173.000;    13432054.000;           0.000;           1.101;
  790;    13256906.000;    14205878.000;    13731392.000;    13357102.400;           0.000;           1.542;
  791;    13221948.000;    13546200.000;    13384074.000;    13342260.200;           0.000;           0.685;
  792;    13320020.000;    13633508.000;    13476764.000;    13415240.800;           0.000;           0.590;
  793;    13459466.000;    13747072.000;    13603269.000;    13559750.900;           0.000;           0.677;
  794;    13396826.000;    13675576.000;    13536201.000;    13467884.400;           0.000;           0.527;
  795;    13509382.000;    13729422.000;    13619402.000;    13560390.600;           0.000;           0.424;
  796;    13672646.000;    14099590.000;    13886118.000;    13749155.900;           0.000;           0.740;
  797;    13687486.000;    14202920.000;    13945203.000;    13813637.900;           0.000;           0.947;
  798;    13637936.000;    13960580.000;    13799258.000;    13741613.800;           0.000;           0.661;
  799;    13593474.000;    14038182.000;    13815828.000;    13680207.900;           0.000;           0.783;
  800;    16876920.000;    17414606.000;    17145763.000;    16973006.300;           0.000;           0.822;
