    n;             min;             max;             avg;             mea;             bpc;             dev;
  136;      192074.000;      358624.000;      275349.000;      208246.000;           0.001;          22.532;
  137;      176822.000;      201936.000;      189379.000;      178346.800;           0.001;           3.115;
  138;      179236.000;      180412.000;      179824.000;      179570.600;           0.001;           0.140;
  139;      181764.000;      191402.000;      186583.000;      182546.400;           0.001;           1.147;
  140;      187016.000;      196790.000;      191903.000;      187838.000;           0.001;           1.144;
  141;      187124.000;      187892.000;      187508.000;      187557.500;           0.001;           0.099;
  142;      189728.000;      197704.000;      193716.000;      190484.300;           0.001;           0.899;
  143;      192308.000;      199860.000;      196084.000;      192947.500;           0.001;           0.847;
  144;      217110.000;      220924.000;      219017.000;      217809.500;           0.001;           0.361;
  145;      197808.000;      206102.000;      201955.000;      198429.500;           0.001;           0.915;
  146;      200732.000;      208954.000;      204843.000;      201519.300;           0.001;           0.875;
  147;      203282.000;      204266.000;      203774.000;      203612.400;           0.001;           0.131;
  148;      210082.000;      210628.000;      210355.000;      210342.700;           0.001;           0.071;
  149;      208814.000;      240114.000;      224464.000;      212120.600;           0.001;           4.253;
  150;      211750.000;      230648.000;      221199.000;      213023.200;           0.001;           1.950;
  151;      214352.000;      230324.000;      222338.000;      215621.400;           0.001;           1.610;
  152;      243022.000;      287072.000;      265047.000;      246828.500;           0.001;           4.226;
  153;      220358.000;      223594.000;      221976.000;      220839.300;           0.001;           0.304;
  154;      223452.000;      266736.000;      245094.000;      226427.600;           0.001;           4.365;
  155;      225682.000;      233620.000;      229651.000;      226534.600;           0.001;           0.742;
  156;      233862.000;      294602.000;      264232.000;      237576.300;           0.001;           5.664;
  157;      231442.000;      257758.000;      244600.000;      233083.400;           0.001;           2.494;
  158;      234754.000;      392262.000;      313508.000;      245650.900;           0.001;          14.896;
  159;      237478.000;      254096.000;      245787.000;      238548.700;           0.001;           1.536;
  160;      494440.000;      521386.000;      507913.000;      498248.700;           0.000;           1.435;
  161;      243624.000;      244446.000;      244035.000;      243946.100;           0.001;           0.101;
  162;      246746.000;      254594.000;      250670.000;      247544.100;           0.001;           0.678;
  163;      250386.000;      250918.000;      250652.000;      250731.800;           0.001;           0.057;
  164;      260956.000;      264090.000;      262523.000;      261787.700;           0.001;           0.289;
  165;      255874.000;      283900.000;      269887.000;      257687.700;           0.001;           2.396;
  166;      259128.000;      269206.000;      264167.000;      259968.300;           0.001;           0.839;
  167;      261936.000;      263500.000;      262718.000;      262418.700;           0.001;           0.149;
  168;      299782.000;      304046.000;      301914.000;      300564.600;           0.001;           0.289;
